ID,geometry,alt_name,ele,gnis:feature_id,name,name:ru,place,tourism,wikidata,name:zh,name:zh-Hant,wikipedia,wheelchair,amenity,attraction,gnis:county_id,gnis:created,gnis:state_id,architect,artist_name,artwork_type,historic,start_date,website,website:alternate,artwork_subject,material,addr:housenumber,addr:postcode,addr:street,phone,addr:city,addr:country,addr:state,gnis:county_name,gnis:import_uuid,gnis:reviewed,lgbtq,source,sport,building,building:colour,building:levels,building:material,height,nycdoitt:bin,roof:material,roof:shape,addr:floor,opening_hours,name:es,email,internet_access,internet_access:fee,smoking,fee,leisure,access,name:fr,artist:wikidata,image,memorial,note,wikimedia_commons,artist:wikipedia,subject:wikidata,subject:wikipedia,brand,brand:wikidata,noexit,branch,operator,rooms,old_name,air_conditioning,bar,reservation,barrier,board_type,information,species:wikidata,species:wikipedia,official_name,description,name:hr,internet_access:ssid,emergency,operator:wikidata,operator:wikipedia,covered,check_date,fax,flickr,short_name,shop,level,contact:website,cuisine,name:en,name:zh-Hans,date,display,faces,addr:unit,fixme,contact:facebook,contact:instagram,fitness_centre,postal_code,swimming_pool,ref,ref:nrhp,contact:email,dof,source_ref,subject:description,statue,dog,museum,operator:type,artist,breakfast,payment:cash,payment:credit_cards,payment:debit_cards,year_of_construction,inscription,opening_hours:covid19,inscription_1,inscription_2,backrest,toilets:wheelchair,alt_name:en,alt_name:fr,contact:yelp,disused:website,source:name,contact:pinterest,contact:twitter,wifi,subject,name:ko,payment:american_express,payment:mastercard,payment:visa,toilets,direction,name:it,link,map_size,map_type,name:de,capacity,sculptor,facebook,bench,indoor,lit,sms,video,natural,species,species:en,tree:diameter,type,payment:diners_club,payment:discover_card,toilets:unisex,contact:fax,contact:phone,architect:wikidata,name:etymology:wikidata,motor_vehicle,toilets:access,location,man_made,opening_hours:url,board:title,layer,polling_station,construction:tourism,architect:wikipedia,old_name:etymology:wikidata,old_old_name,description:en,internet,bicycle_parking,min_height,colour,model,survey:date,fountain,network,parking,payment:contactless,pets,guide_type,level:ref,room,cost,office,wikimedia_commons_1,nodes,maxspeed,surface,tiger:cfcc,tiger:county,tiger:name_base,tiger:zip_left,tiger:zip_right,oneway,tiger:name_type,tiger:reviewed,name_1,sidewalk:both,tiger:name_base_1,tiger:name_type_1,addr:full,check_date:opening_hours,heritage,heritage:operator,lpc:inscription_date,name:ja,name:tr,nrhp:inscription_date,ref:lpc,building:part,importance,landmark,monument,name:af,name:ar,name:azb,name:ba,name:be,name:cs,name:da,name:el,name:et,name:eu,name:fi,name:he,name:hi,name:hu,name:kaa,name:lt,name:nl,name:pl,name:pt,name:ro,name:sk,name:sl,name:sr,name:sv,name:tt,name:uk,name:ur,official_name:en,roof:colour,seamark:landmark:category,government,building:architecture,building:use,construction_date,name:zh_pinyin,short_name:de,short_name:es,short_name:fr,short_name:pl,ship:type,seasonal,disused:tourism,area,team,team_2,construction,smoothness,heritage:website,nrhp:criteria,protection_title,nrhp:nhl,payment:carte_blanche,payment:jcb,payment:union_pay,business_centre,addr:district,pets_allowed,fee:conditional,old_name:es,religion,cat,addr:housename,designation,name:fa,old_name:-2006,old_name:2006-2019,instagram,notable_tenant:wikidata,twitter,not:brand:wikidata,laundry_service,old_nycdoitt:bin,payment:unionpay,wheelchair:rooms,building:levels:underground,loc_name,name:ast,operator:short,operator:website,ref:isil,name:kn,denomination,service:bicycle:rental,tourism_1,building:name,building:start_date,building:wikidata,building:wikipedia,museum:start_date,owner,diocese,rooms:wheelchair,landuse,bin,sauna,tower:type,zoo,bridge,manufacturer,maxweight,bridge:structure,alt_name:cs,alt_name:es,mapillary,aerialway,url,url:1,drinking_water,name:bg,name:ml,seamark:platform:category,seamark:type,closed,tunnel,ways,addr:place,bicycle,old_railway_operator
1,POINT (-73.9795833 40.7251022),Loisaida,4,2062665,Alphabet City,Алфабет-сити,neighbourhood,yes,Q1156938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,POINT (-73.9987505 40.72288),,9,2045148,SoHo,Сохо,neighbourhood,attraction,Q461572,苏活区,蘇活區,"en:SoHo, Manhattan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,POINT (-73.9713889 40.7486231),,18,2083304,Tudor City,Тьюдор-сити,neighbourhood,yes,Q549206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,POINT (-74.0029056 40.7057505),,,,South Street Seaport,,,attraction,Q223000,,,en:South Street Seaport,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,POINT (-73.9972548 40.7322674),,7,2080738,"New York Studio School of Drawing, Painting and Sculpture",,,yes,Q7014742,,,"en:New York Studio School of Drawing, Painting and Sculpture",,college,yes,061,12/14/2005,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,POINT (-73.9679875 40.7714555),,26,2083525,Richard Morris Hunt,,,artwork,Q18156903,,,en:Richard Morris Hunt Memorial,,,,061,02/03/2006,36,Bruce Price,Daniel Chester French,bust,memorial,1898,https://www.nycgovparks.org/parks/central-park/monuments/756,https://www.centralparknyc.org/locations/richard-morris-hunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,POINT (-73.9764799 40.7941111),,19,2084645,Joan of Arc Memorial,,,artwork,,,,,,,,061,03/06/2006,36,,Anna Vaughn Hyatt Huntington,sculpture,,1915,https://www.nycgovparks.org/parks/riverside-park/monuments/819,,Joan of Arc,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,POINT (-73.9971028 40.7214798),,,2063269,Storefront for Art and Architecture,,,gallery,Q7619980,,,en:Storefront for Art and Architecture,,arts_centre,,,,,,,,,,https://storefrontnews.org,,,,97,10012,Kenmare Street,-6437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,POINT (-74.0021484 40.7338007),,7,2082946,Stonewall Inn,,,attraction,Q1261362,,,en:Stonewall Inn,limited,bar,,,,,,,,,,https://thestonewallinnnyc.com/,,,,53,10014,Christopher Street,,New York,US,NY,New York,57871b70-0100-4405-bb30-88b2e001a944,no,primary,USGS Geonames,billiards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,POINT (-74.0064354 40.7470923),,2,2083022,Paula Cooper Gallery,,,gallery,Q2063533,,,,,,,,,,,,,,,,,,,525,10011,West 21st Street,,New York,,NY,New York,57871b70-0100-4405-bb30-88b2e001a944,no,,USGS Geonames,,yes,#C6BD9E,2,brick,9,1080298,concrete,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
